pair_id,detected_left,detected_right,common_count,common_ids,mean_abs_vertical_error_px,median_abs_vertical_error_px,p95_abs_vertical_error_px,max_abs_vertical_error_px,status
000001,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.217982,0.200012,0.437924,0.465790,PASS
000002,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.189936,0.186768,0.400850,0.446594,PASS
000003,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.168505,0.143173,0.417055,0.472595,PASS
000004,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.177587,0.144226,0.488651,0.518127,PASS
000005,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.208408,0.188812,0.378519,0.599487,PASS
000006,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.169879,0.168442,0.380914,0.575958,PASS
000007,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.075202,0.064285,0.135428,0.300659,PASS
000008,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.117546,0.103119,0.284348,0.316650,PASS
000009,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.061155,0.053207,0.119043,0.123047,PASS
000010,True,True,22,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0.061859,0.047440,0.179300,0.219727,PASS
000011,True,True,22,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0.083830,0.068542,0.180731,0.191376,PASS
